Brand,Product name,Volume (mL),Price (HKD),Price per Liter (HKD)
SAN BENEDETTO,SAN BENEDETTO Sparkling Mineral Water,1500,14.5,9.666666667
WATSON'S,WATSON'S Distilled Water,4500,22.9,5.088888889
WATSON'S,WATSON'S Distilled Water,430,6,13.95348837
WATSON'S,WATSON'S Distilled Water,280,4,14.28571429
WATSON'S,WATSON'S Distilled Water With Minerals,4500,22.9,5.088888889
WATSON'S,WATSON'S Distilled Water,1800,9.9,5.5
WATSON'S,WATSON'S Distilled Water,1250,10,8
WATSON'S,WATSON'S Distilled Water,800,6.5,8.125
WATSON'S,WATSON'S Ion Water,1200,13.9,11.58333333
WATSON'S,WATSON'S Ion Water,420,8,19.04761905
WATSON'S,WATSON'S Distilled Water With Minerals,800,6.5,8.125
WATSON'S,WATSON'S Distilled Water With Minerals,430,6,13.95348837
WATSON'S,WATSON'S Alkaline Water 9.0,420,8,19.04761905
COOL,COOL Mineralized Water,380,5,13.15789474
SAN BENEDETTO,SAN BENEDETTO Mineral Water,500,7.5,15
ACQUA PANNA,ACQUA PANNA Natural Mineral Water,500,8.8,17.6
COOL,COOL Mineralized Water,750,5.5,7.333333333
COOL,COOL Mineralized Water,1500,4.5,3
COOL,COOL Mineralized Water,5000,19,3.8
WATSON'S,WATSON'S Sleeveless Distilled Water,500,6.5,13
PERRIER,PERRIER Mineral Water Can,330,13.9,42.12121212
PERRIER,PERRIER Mineral Water,330,14.5,43.93939394
HINO ASO,HINO ASO Mineral Water.,2000,19.9,9.95
KIRIN,KIRIN Alkaline Ion Water,2000,22.9,11.45
VOLVIC,VOLVIC Natural Mineral Water,500,8.5,17
SUNTORY,SUNTORY Natural Water,2000,22.9,11.45
ICELANDIC GLACIAL,ICELANDIC GLACIAL Natural Spring Water,1500,35,23.33333333
ICELANDIC GLACIAL,ICELANDIC GLACIAL Natural Spring Water,750,23,30.66666667
ICELANDIC GLACIAL,ICELANDIC GLACIAL Natural Spring Water,330,12,36.36363636
GORNA BANIA,GORNA BANIA Serdika Natural Mineral Water,1500,22.5,15
EVIAN,EVIAN Natural Mineral Water,330,8.4,25.45454545
VOLVIC,VOLVIC Natural Mineral Water,500,12,24
YUKINO MIZU,YUKINO MIZU Hokkaido Mineral Water,2000,18.9,9.45
LOTTE,LOTTE Icis Water,2000,13.9,6.95
YUKINO MIZU,YUKINO MIZU Hokkaido Mineral Water,550,9.9,18
SOC,SOC Spring Water 99,2000,34.9,17.45
SOC,SOC Spring Water 99,500,17.9,35.8
IRIS FOOD,IRIS FOOD Mt.fuji Natural Water,500,9.9,19.8
IRIS FOOD,IRIS FOOD Mt.fuji Natural Water,2000,16.9,8.45
EVIAN,EVIAN Natural Mineral Water,1500,18,12
FIJI,FIJI Natural Artesian Water,500,15.5,31
FIJI,FIJI Natural Artesian Water,1000,22.9,22.9
SUNTORY,SUNTORY Natural Water,550,13.9,25.27272727
VOLVIC,VOLVIC Natural Mineral Water,750,15.7,20.93333333
PH8,PH8 Alkaline Water,500,15,30
PH8,PH8 Alkaline Water,1500,29,19.33333333
ESSENTIAL WAITROSE,ESSENTIAL WAITROSE Still Natural Mineral Water,2000,13.9,6.95
ACQUA PANNA,ACQUA PANNA Still Nat. Mineral Water,750,21.5,28.66666667
EVIAN,EVIAN Natural Mineral Water,750,16,21.33333333
