Shop,Brand,Product name,Volume (mL),Price (HKD),Price per Liter (HKD)
PARKnSHOP,SAN BENEDETTO,SAN BENEDETTO Sparkling Mineral Water,1500,14.5,9.666666667
PARKnSHOP,WATSON'S,WATSON'S Distilled Water,4500,22.9,5.088888889
PARKnSHOP,WATSON'S,WATSON'S Distilled Water,430,6,13.95348837
PARKnSHOP,WATSON'S,WATSON'S Distilled Water,280,4,14.28571429
PARKnSHOP,WATSON'S,WATSON'S Distilled Water With Minerals,4500,22.9,5.088888889
PARKnSHOP,WATSON'S,WATSON'S Distilled Water,1800,9.9,5.5
PARKnSHOP,WATSON'S,WATSON'S Distilled Water,1250,10,8
PARKnSHOP,WATSON'S,WATSON'S Distilled Water,800,6.5,8.125
PARKnSHOP,WATSON'S,WATSON'S Ion Water,1200,13.9,11.58333333
PARKnSHOP,WATSON'S,WATSON'S Ion Water,420,8,19.04761905
PARKnSHOP,WATSON'S,WATSON'S Distilled Water With Minerals,800,6.5,8.125
PARKnSHOP,WATSON'S,WATSON'S Distilled Water With Minerals,430,6,13.95348837
PARKnSHOP,WATSON'S,WATSON'S Alkaline Water 9.0,420,8,19.04761905
PARKnSHOP,COOL,COOL Mineralized Water,380,5,13.15789474
PARKnSHOP,SAN BENEDETTO,SAN BENEDETTO Mineral Water,500,7.5,15
PARKnSHOP,ACQUA PANNA,ACQUA PANNA Natural Mineral Water,500,8.8,17.6
PARKnSHOP,COOL,COOL Mineralized Water,750,5.5,7.333333333
PARKnSHOP,COOL,COOL Mineralized Water,1500,4.5,3
PARKnSHOP,COOL,COOL Mineralized Water,5000,19,3.8
PARKnSHOP,WATSON'S,WATSON'S Sleeveless Distilled Water,500,6.5,13
PARKnSHOP,PERRIER,PERRIER Mineral Water Can,330,13.9,42.12121212
PARKnSHOP,PERRIER,PERRIER Mineral Water,330,14.5,43.93939394
PARKnSHOP,HINO ASO,HINO ASO Mineral Water.,2000,19.9,9.95
PARKnSHOP,KIRIN,KIRIN Alkaline Ion Water,2000,22.9,11.45
PARKnSHOP,VOLVIC,VOLVIC Natural Mineral Water,500,8.5,17
